city,state
albany,New York
atlanta,New York
baltimorewashington,Maryland
boise,Idaho
boston,Massachusetts
buffalorochester,New York
california,Pennsylvania
charlotte,Vermont
chicago,Illinois
cincinnatidayton,Ohio
columbus,New Jersey
dallasftworth,Texas
denver,New York
detroit,Maine
grandrapids,Minnesota
greatlakes,Illinois
harrisburgscrantonPennsylvania,Pennsylvania
hartfordspringfield,Connecticut 
houston,Pennsylvania
indianapolis,Indiana
jacksonville,Vermont
lasvegas,Nevada
losangeles,California
louisville,Georgia
miamiftlauderdale,Florida
midsouth,Arkansas
nashville,North Carolina
neworleansmobile,Louisiana
newyork,New York
northeast,New York
northernnewengland,Connecticut
orlando,West Virginia
philadelphia,New York
phoenixtucson,Arizona
pittsburgh,Pennsylvania
plains,Georgia
portland,Maine
raleighgreensboro,North Carolina
richmondnorfolk,Virginia
roanoke,Virginia
sacramento,Pennsylvania
sandiego,California
sanfrancisco,California
seattle,Washington
southcarolina,South Carolina
southcentral,Texas
southeast,Georgia
spokane,Missouri
stlouis,Missouri
syracuse,New York
tampa,Florida
totalus,#N/A
west,Mississippi
westtexnewmexico,Texas
